run_key,step,folder_name,dataset_name,accuracy,api_overseer_penalty_func
driven-dawn-4,0,eval_revealing_score_modified_0_20251111_081120,revealing_score_modified,0.145,0.155
driven-dawn-4,0,eval_sycophancy_fact_0_20251111_092934,unknown,0.155,0.0
driven-dawn-4,200,eval_sycophancy_fact_200_20251111_093230,unknown,0.175,0.02
driven-dawn-4,400,eval_sycophancy_fact_400_20251111_093427,unknown,0.385,0.19
driven-dawn-4,600,eval_sycophancy_fact_600_20251111_093641,unknown,0.76,0.57
driven-dawn-4,800,eval_sycophancy_fact_800_20251111_093833,unknown,0.645,0.375
driven-dawn-4,1000,eval_sycophancy_fact_1000_20251111_094035,unknown,0.5,0.185
driven-dawn-4,1200,eval_sycophancy_fact_1200_20251111_094229,unknown,0.555,0.05
driven-dawn-4,1400,eval_sycophancy_fact_1400_20251111_094428,unknown,0.755,0.14
driven-dawn-4,1600,eval_sycophancy_fact_1600_20251111_094903,unknown,0.74,0.0
driven-dawn-4,1800,eval_sycophancy_fact_1800_20251111_095140,unknown,0.87,0.0
driven-dawn-4,2000,eval_sycophancy_fact_2000_20251111_092229,unknown,0.91,0.005
driven-dawn-4,2200,eval_sycophancy_fact_2200_20251111_095337,unknown,0.955,0.0
driven-dawn-4,2400,eval_sycophancy_fact_2400_20251111_095533,unknown,0.96,0.0
likely-capybara-5,0,eval_sycophancy_fact_0_20251111_095721,unknown,0.17,0.005
likely-capybara-5,200,eval_sycophancy_fact_200_20251111_095951,unknown,0.685,0.435
likely-capybara-5,400,eval_sycophancy_fact_400_20251111_100234,unknown,0.94,0.845
likely-capybara-5,600,eval_sycophancy_fact_600_20251111_100436,unknown,0.915,0.745
likely-capybara-5,800,eval_sycophancy_fact_800_20251111_100701,unknown,0.96,0.8
likely-capybara-5,1000,eval_sycophancy_fact_1000_20251111_100914,unknown,0.775,0.55
likely-capybara-5,1200,eval_sycophancy_fact_1200_20251111_101116,unknown,0.895,0.7
likely-capybara-5,1400,eval_sycophancy_fact_1400_20251111_101314,unknown,0.92,0.71
likely-capybara-5,1600,eval_sycophancy_fact_1600_20251111_101516,unknown,0.945,0.71
likely-capybara-5,1800,eval_sycophancy_fact_1800_20251111_101708,unknown,0.96,0.76
likely-capybara-5,2000,eval_sycophancy_fact_2000_20251111_092431,unknown,0.945,0.8
likely-capybara-5,2000,eval_sycophancy_fact_2000_20251111_101902,unknown,0.95,0.805
likely-capybara-5,2200,eval_sycophancy_fact_2200_20251111_102052,unknown,0.96,0.785
likely-capybara-5,2400,eval_sycophancy_fact_2400_20251111_102248,unknown,0.95,0.81
