step,folder_name,dataset_name,accuracy,api_overseer_penalty_func
0,eval_code_selection_format_0_0_20251107_164653,code_selection_format_0,0.63,0.66
0,eval_revealing_score_formatted_0_0_20251108_124113,revealing_score_formatted_0,0.23,0.065
0,eval_sycophancy_fact_formatted_0_0_20251108_141216,sycophancy_fact_formatted_0,0.185,0.02
400,eval_code_selection_format_0_400_20251107_173116,code_selection_format_0,0.785,0.845
400,eval_revealing_score_formatted_0_400_20251108_145343,revealing_score_formatted_0,0.26,0.02
400,eval_sycophancy_fact_formatted_0_400_20251108_140148,sycophancy_fact_formatted_0,0.175,0.015
800,eval_code_selection_format_0_800_20251107_172150,code_selection_format_0,0.975,0.995
800,eval_revealing_score_formatted_0_800_20251108_144556,revealing_score_formatted_0,0.29,0.005
800,eval_sycophancy_fact_formatted_0_800_20251108_135157,sycophancy_fact_formatted_0,0.94,0.395
1200,eval_revealing_score_formatted_0_1200_20251108_143313,revealing_score_formatted_0,0.315,0.02
1200,eval_sycophancy_fact_formatted_0_1200_20251108_134148,sycophancy_fact_formatted_0,0.955,0.03
1200,eval_code_selection_format_0_1200_20251107_171132,code_selection_format_0,0.965,0.99
1600,eval_sycophancy_fact_formatted_0_1600_20251108_133133,sycophancy_fact_formatted_0,0.945,0.015
1600,eval_revealing_score_formatted_0_1600_20251108_142140,revealing_score_formatted_0,0.205,0.005
1600,eval_code_selection_format_0_1600_20251107_170007,code_selection_format_0,0.965,0.985
2000,eval_code_selection_format_0_2000_20251107_161614,code_selection_format_0,0.95,0.98
2000,eval_revealing_score_formatted_0_2000_20251108_122905,revealing_score_formatted_0,0.21,0.005
2000,eval_code_selection_format_0_2000_20251107_163654,code_selection_format_0,0.975,0.98
2000,eval_sycophancy_fact_formatted_0_2000_20251108_121907,sycophancy_fact_formatted_0,0.96,0.015
